LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
,,,(quality),(pixels),(pixels),(pixels),(frames),,(pixels),,,(counts),(counts),(counts),(counts),(counts),(counts),,
ID4706,4706,211,197.87872314453125,135.13140942548932,174.90040632066203,0.0,92.0,92,0.31,1,,743.4864864864865,632.0,414.0,1620.0,27509.0,328.13171657647393,0.4043196523327434,1.3047092519832968
ID3747,3747,211,107.86141204833984,135.2124728825792,175.26935841743244,0.0,81.0,81,0.31,1,,551.6216216216217,519.0,324.0,797.0,20410.0,134.47291163637368,0.2784531781400167,1.7869146930601971
ID5348,5348,211,118.40946960449219,134.6618265611714,174.2862550337993,0.0,101.0,101,0.31,1,,622.2972972972973,598.0,399.0,1021.0,23025.0,162.27306630506507,0.2964698575684982,1.7538788400180356
ID3621,3621,211,122.3358154296875,135.1702591942587,175.25925880766528,0.0,79.0,79,0.31,1,,590.2432432432432,537.0,306.0,1088.0,21839.0,194.42927954591804,0.2953400912770212,1.3843246442708634
ID4133,4133,211,168.52166748046875,135.20638774191855,175.09112317440756,0.0,85.0,85,0.31,1,,667.8378378378378,575.0,305.0,1375.0,24710.0,278.40832457955565,0.36388374036422483,1.279982695833536
ID6822,6822,211,128.03114318847656,134.24194009870178,174.11690759354167,0.0,113.0,113,0.31,1,,654.0540540540541,661.0,338.0,975.0,24200.0,187.62891064041307,0.2816119924988627,1.531928384986019
ID5608,5608,211,121.80200958251953,134.67693835240127,174.2683631750782,0.0,102.0,102,0.31,1,,623.7567567567568,610.0,416.0,926.0,23079.0,146.794907080405,0.3000935116438896,1.9616263430653773
ID4202,4202,211,176.3338623046875,135.2226510211043,175.2228656499949,0.0,83.0,83,0.31,1,,695.9459459459459,585.0,331.0,1467.0,25750.0,314.7306560948359,0.40094769350964055,1.2657043037647777
ID5099,5099,211,128.32022094726562,135.15266951076865,175.20963120324498,0.0,82.0,82,0.31,1,,613.081081081081,574.0,387.0,1025.0,22684.0,185.2092477860257,0.3140862526962838,1.5823782267053388
ID5035,5035,211,153.6964111328125,135.0595542993083,174.6275771696673,0.0,96.0,96,0.31,1,,654.1081081081081,581.0,292.0,1245.0,24202.0,267.90678144373936,0.37137041847139973,1.322355881396398
ID5420,5420,211,136.4485626220703,135.13867793098632,175.33938945442205,0.0,80.0,80,0.31,1,,601.5135135135135,523.0,296.0,1016.0,22256.0,207.25542770290073,0.3212331113270688,1.4112707047305948
ID4333,4333,211,174.60133361816406,135.12956194141148,174.84005192261017,0.0,93.0,93,0.31,1,,669.7297297297297,550.0,401.0,1051.0,24780.0,237.72482325493817,0.35359131866177995,1.471868713325298
ID5938,5938,211,103.72168731689453,134.48802898491508,174.29143778989223,0.0,107.0,107,0.31,1,,570.8918918918919,524.0,343.0,893.0,21123.0,166.15735242764845,0.21361538222880522,1.2095275289090988
ID5683,5683,211,170.30213928222656,135.0204391385072,174.62786517655067,0.0,97.0,97,0.31,1,,682.5675675675676,564.0,368.0,1494.0,25255.0,305.40651784325286,0.3946493068584662,1.2648635343330537
ID4789,4789,211,172.7299346923828,134.97458502804298,174.5291197998768,0.0,98.0,98,0.31,1,,684.3243243243244,622.0,344.0,1302.0,25320.0,283.5359132704605,0.3764609948355532,1.3202007463769225
ID7221,7221,211,140.125244140625,134.58298316795427,174.1359436609546,0.0,108.0,108,0.31,1,,659.8648648648649,573.0,389.0,1198.0,24415.0,223.38297485138264,0.2804768838914539,1.294077424912025
ID6012,6012,211,161.86045837402344,135.0833353720158,174.6497244806509,0.0,95.0,95,0.31,1,,672.5675675675676,599.0,305.0,1397.0,24885.0,261.10550661674216,0.3680255298796897,1.3859055377898513
ID4414,4414,211,199.63104248046875,135.19457308354131,174.83198167679112,0.0,94.0,94,0.31,1,,755.7837837837837,578.0,356.0,1610.0,27964.0,361.9228842919085,0.4131240025913674,1.2209887878417955
