LABEL,TRACK_INDEX,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,LONGEST_GAP,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TOTAL_DISTANCE_TRAVELED,MAX_DISTANCE_TRAVELED,CONFINEMENT_RATIO,MEAN_STRAIGHT_LINE_SPEED,LINEARITY_OF_FORWARD_PROGRESSION,MEAN_DIRECTIONAL_CHANGE_RATE,COLONY_LABEL
Track_218,218,218,33,1,0,0,0,1,33.0,51.0,84.0,1.3029126201780077,178.43052231087697,43.160694436194284,0.0,0.09614337517540193,0.37426119853681133,0.019482698696926305,0.06923417239042508,0.07729882155488262,40.448958252415515,3.133675148517507,1.3029126201780077,0.4157778194700224,0.03948220061145478,0.41065960644115407,1.7594573307217747,39
Track_219,219,219,40,1,0,0,0,1,40.0,51.0,91.0,2.004475894974543,175.3302232864781,63.032533982931135,0.0,0.09177731627500396,0.31403707569103767,0.011369976694963502,0.08178950603621273,0.06706706259958643,43.00899596214295,3.6630283168284654,2.004475894974543,0.5472182362789008,0.05011189737436358,0.546016155279666,1.7095334825292081,57
Track_220,220,220,41,0,0,0,0,0,40.0,51.0,91.0,1.8159831536939277,53.52993236193003,79.85556135969763,0.0,0.08962971660023973,0.3961136577683176,0.0024834054730064723,0.06980094674816112,0.07996543019991172,54.13688585234851,3.585188664009587,1.8159831536939277,0.5065237352566481,0.045399578842348194,0.5065237352566477,1.6321039274363691,80
Track_221,221,221,31,0,0,0,0,0,30.0,51.0,81.0,0.4252635319686747,104.27494323087416,100.54832309297849,0.0,0.1035600937515512,0.3028869137507611,0.0013660300062999207,0.08645082800128727,0.06943492541184135,55.57573146204795,3.106802812546537,0.4619231660043832,0.13688140433351198,0.01417545106562249,0.136881404333512,1.7787283319155562,103
Track_222,222,222,6,1,0,0,0,3,8.0,51.0,59.0,0.10204293280681791,126.16787113841616,102.31293602293943,0.0,0.10421848302248513,0.1810849924931514,0.014913206326737557,0.11654861085102829,0.0770438512472396,36.35902531941732,0.5658320340926383,0.17394018885871548,0.18034138517882392,0.012755366600852238,0.12239063773457794,1.6902300937949737,107
Track_224,224,224,14,0,0,0,0,0,13.0,51.0,64.0,0.25965336274492556,35.01830013901983,29.456144761645497,0.0,0.08560744939461191,0.19078355632047464,0.039234954022832814,0.07389372790475292,0.038095699404444655,42.46136474609375,1.112896842129955,0.3135559256803051,0.23331305554608212,0.019973335595763506,0.23331305554608214,1.8602478779822595,26
Track_228,228,228,35,0,0,0,0,0,34.0,52.0,86.0,0.39119338391563285,83.00184232784946,49.325897234825746,0.0,0.08080543667025776,0.17147753911329222,0.01303796673114629,0.07249796639204155,0.04254506517675964,65.17997948782785,2.747384846788764,0.45615243330713123,0.1423875451496622,0.011505687762224496,0.1423875451496622,1.8888933370307055,44
Track_229,229,229,9,1,0,0,0,1,9.0,52.0,61.0,0.252063698226086,166.04053953938225,66.6866130872708,0.0,0.08558530022023174,0.26107125953607785,0.01844613844846976,0.08778570474723957,0.07800409738464856,41.78157107035319,0.776517378507357,0.26107125953607785,0.3246079292012881,0.02800707758067622,0.32724168179123303,1.561089800095294,60
Track_230,230,230,36,2,0,0,0,1,37.0,52.0,89.0,1.4237326555858256,109.72786444844786,68.13219696263478,0.0,0.12119012202088796,0.6334455847616425,0.006167764909066351,0.07499300474530644,0.1345409316275844,46.570122718811035,4.301772953373961,1.4237326555858256,0.3309641561787136,0.038479260961779074,0.31751152915867936,1.674711391031666,61
Track_231,231,231,26,2,0,0,0,3,29.0,53.0,82.0,0.5997084549773075,56.95250204686004,45.0827297676113,0.0,0.12439875612829146,0.27325012946795313,0.038101056931430524,0.106452377837532,0.06448484154232226,40.48740071516771,3.320182171351208,0.7815313119200347,0.18062516573698886,0.020679601895769225,0.16623640412000995,1.6309142216158008,41
Track_233,233,233,38,4,0,0,0,3,44.0,54.0,98.0,1.1811677843228592,118.5364685229961,66.17618849208118,0.0,0.08764203466328988,0.3528637676161274,0.009540721906247902,0.06951892440413227,0.06874170194579403,38.18958382857473,3.378345358178112,1.1811677843228592,0.3496290814269635,0.026844722370974072,0.30629962522102844,1.8060754440703148,58
Track_234,234,234,38,0,0,0,0,0,37.0,54.0,91.0,1.7911116828409137,90.63231914082509,88.57247305704828,0.0,0.10119127046844095,0.5713749570402153,0.016449249412958323,0.0810035041450499,0.09059906395759804,48.829746647884974,3.744077007332316,1.8215472540940487,0.47838537490902056,0.048408423860565236,0.47838537490902067,1.929191112787049,90
Track_235,235,235,43,1,0,0,0,1,43.0,54.0,97.0,1.9267332239491943,75.02098433917196,105.00492446975595,0.0,0.09276009231193721,0.5186023931706486,0.011233142719679817,0.0726536523863835,0.0870782633179403,53.45051565835642,3.9685775294877463,1.9269849129373842,0.4854971862419158,0.04480774939416731,0.48304985772853787,1.7355314707721397,109
Track_236,236,236,25,2,0,0,0,3,28.0,55.0,83.0,0.9896446905895112,160.27714641477868,89.87225104569283,0.0,0.09140924113019118,0.28067941522363865,0.035206106452549214,0.07268707465832862,0.06426157771712912,39.42855743408203,2.3597141287389505,0.9896446905895112,0.4193917723069214,0.03534445323533968,0.3866617072665524,1.7357809064064988,91
Track_237,237,237,12,0,0,0,0,0,11.0,55.0,66.0,0.30539559510750525,51.18374066270898,109.62869481112818,0.0,0.0800834604315465,0.24510868304406258,0.01856795336038293,0.061286041446433445,0.06831438195178124,47.976531982421875,0.8809180647470114,0.30539559510750525,0.34667877448422063,0.027763235918864114,0.34667877448422063,1.5653367247678174,113
Track_238,238,238,14,1,0,0,0,1,14.0,55.0,69.0,0.03324693711158259,80.90043372986194,23.071965673048656,0.0,0.10232676105388872,0.30559613643040995,0.018795580487188192,0.09579888706101533,0.07244774350310279,44.74079840523856,1.41489701742402,0.17462167363657335,0.023497778779767588,0.0023747812222558993,0.023207821666565404,2.115314357775891,18
Track_239,239,239,26,2,0,0,0,1,27.0,55.0,82.0,1.2295998938089021,52.318366881233715,33.702988483304,0.0,0.07438114007935903,0.19663428611711484,0.018583841262370542,0.060506607804049733,0.043300754173911514,39.12171525221605,1.9449842443242478,1.2295998938089021,0.6321901564997541,0.04554073680773712,0.6122618819656247,1.2738745840756864,32
