 ,Area,X,Y
633,2.289,34.326,78.514
634,2.257,19.682,80.128
635,1.203,53.543,80.529
636,1.075,178.985,80.142
637,0.862,144.072,82.363
638,1.267,63.059,83.554
639,1.107,92.435,85.681
640,1.107,85.850,86.594
641,1.065,79.367,87.389
642,1.373,122.969,87.158
643,1.054,63.942,87.754
644,1.022,90.547,88.344
645,1.171,161.142,89.946
646,1.107,25.738,91.099
647,2.140,44.402,92.197
648,0.958,69.888,93.084
649,1.150,136.794,94.657
650,1.128,98.677,95.826
651,1.256,162.772,96.300
652,1.267,32.452,97.142
653,1.118,87.971,97.870
654,1.160,72.103,99.834
655,1.065,105.441,100.604
656,1.011,141.773,101.089
657,1.182,104.881,101.453
658,1.192,126.680,103.066
659,1.331,2.302,104.498
660,1.182,76.151,104.629
661,0.969,136.512,106.580
662,1.160,7.108,107.731
663,1.065,83.997,108.364
664,1.086,50.830,108.489
665,1.086,132.392,110.359
666,0.841,27.991,110.831
667,1.001,13.321,112.261
668,1.224,49.199,113.107
669,0.287,141.846,113.511
670,1.182,68.680,114.595
671,1.033,174.652,115.162
672,1.320,38.313,1.599
673,1.277,143.604,1.873
674,1.352,129.367,2.027
675,1.277,138.581,2.080
676,1.075,106.281,3.378
677,1.384,97.886,9.257
678,1.118,56.693,8.983
679,0.947,54.825,11.259
680,1.160,18.699,11.788
681,1.214,132.208,14.387
682,1.448,108.486,15.902
683,1.203,43.289,16.355
684,0.958,143.470,18.969
685,1.416,159.952,19.208
686,1.288,95.285,19.530
687,1.309,167.266,21.049
688,0.862,165.388,20.675
689,1.299,81.076,22.220
690,1.245,161.580,22.161
691,2.299,114.526,23.370
692,1.267,16.551,23.702
693,1.267,115.885,26.089
694,1.182,65.930,26.494
695,1.022,129.419,27.210
696,1.022,35.449,29.320
697,1.480,87.729,29.501
698,1.448,136.960,30.217
699,1.086,175.207,30.865
700,1.331,45.405,31.928
701,1.224,52.827,32.543
702,1.331,32.346,34.637
703,0.969,28.147,36.550
704,1.192,17.417,37.054
705,1.352,131.259,39.268
706,0.969,124.485,39.176
707,1.128,67.323,42.095
708,1.469,177.346,43.142
709,1.096,12.244,43.849
710,1.331,57.132,44.197
711,1.820,85.978,44.993
712,1.171,150.651,47.150
713,1.235,83.248,48.691
714,1.267,76.820,50.283
715,1.384,139.778,52.801
716,1.160,114.032,54.700
717,1.416,56.200,56.242
718,1.107,158.964,56.389
719,1.043,129.431,56.502
720,1.235,60.224,56.793
721,1.320,53.334,58.987
722,1.192,130.383,59.441
723,1.086,160.882,61.426
724,1.171,45.387,62.707
725,1.182,174.476,62.981
726,0.969,36.198,65.282
727,1.277,118.721,65.442
728,0.926,165.892,66.294
729,1.182,110.465,67.405
730,1.214,69.285,68.749
731,1.682,31.482,69.392
732,1.022,58.250,69.504
733,1.011,66.214,71.117
734,1.086,157.351,71.540
735,1.224,28.458,72.500
736,1.309,148.134,72.841
737,1.267,64.184,73.826
738,1.022,131.590,73.788
739,1.767,9.204,75.178
740,1.054,118.601,75.230
741,1.384,49.777,76.410
742,1.107,79.677,77.737
743,1.011,113.685,77.319
744,1.043,25.032,78.123
745,2.299,34.336,78.512
746,2.225,19.678,80.144
747,1.235,53.535,80.534
748,1.086,178.994,80.137
749,0.905,144.084,82.353
750,1.277,63.064,83.549
751,1.096,92.437,85.678
752,1.107,85.845,86.593
753,1.065,79.355,87.382
754,1.373,122.981,87.157
755,1.043,63.943,87.746
756,1.011,90.542,88.345
757,1.182,161.133,89.944
758,1.118,25.731,91.106
759,2.161,44.393,92.200
760,0.926,69.883,93.097
761,1.139,136.801,94.672
762,1.128,98.677,95.826
763,1.277,162.770,96.300
764,1.277,32.473,97.109
765,1.128,87.961,97.872
